"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.732205600E-2;-4.251447678E0;8.659625053E0;1.411167145E0;9.749631077E0
1.949238500E-2;-4.241876125E0;8.669196129E0;1.411167145E0;9.753966747E0
2.166672200E-2;-4.241876125E0;8.669196129E0;1.406381488E0;9.753275525E0
2.383875300E-2;-4.241876125E0;8.659625053E0;1.411167145E0;9.745461089E0
2.599892600E-2;-4.251447678E0;8.664410591E0;1.411167145E0;9.753881840E0
2.818408600E-2;-4.241876125E0;8.669196129E0;1.425524116E0;9.756054202E0
3.034469000E-2;-4.232305050E0;8.650053978E0;1.396810174E0;9.730720349E0
3.251994300E-2;-4.232305050E0;8.664410591E0;1.430309772E0;9.748343601E0
3.468817500E-2;-4.227519512E0;8.669196129E0;1.415952802E0;9.748425775E0
3.686089400E-2;-4.213162422E0;8.669196129E0;1.435095429E0;9.745008877E0
3.903362400E-2;-4.213162422E0;8.654839516E0;1.435095429E0;9.732239389E0
4.121437000E-2;-4.203591347E0;8.673981667E0;1.439880967E0;9.745839900E0
4.338526900E-2;-4.203591347E0;8.678768158E0;1.415952802E0;9.746595266E0
4.555387800E-2;-4.203591347E0;8.683553696E0;1.435095429E0;9.753654899E0
4.771493000E-2;-4.203591347E0;8.688339233E0;1.430309772E0;9.757212967E0
4.989686600E-2;-4.203591347E0;8.707481384E0;1.415952802E0;9.772171438E0
5.207186300E-2;-4.208376884E0;8.707481384E0;1.449452281E0;9.779140043E0
5.425547700E-2;-4.232305050E0;8.721240044E0;1.459023595E0;9.803121125E0
5.640660100E-2;-4.208376884E0;8.716454506E0;1.444666624E0;9.786423086E0
5.856967700E-2;-4.222733974E0;8.692526817E0;1.444666624E0;9.771313440E0
6.074761400E-2;-4.203591347E0;8.712266922E0;1.435095429E0;9.779226658E0
6.292201200E-2;-4.222733974E0;8.702097893E0;1.439880967E0;9.779123026E0
6.509567800E-2;-4.227519512E0;8.721240044E0;1.439880967E0;9.798224652E0
6.726446100E-2;-4.232305050E0;8.726025581E0;1.439880967E0;9.804549234E0
6.943726100E-2;-4.227519512E0;8.726624489E0;1.439282775E0;9.802929720E0
7.160830200E-2;-4.241876125E0;8.726025581E0;1.463211060E0;9.812136470E0
7.377590500E-2;-4.246662140E0;8.735597610E0;1.458425403E0;9.822006394E0
7.594810500E-2;-4.256233215E0;8.735597610E0;1.463211060E0;9.826859793E0
7.811907500E-2;-4.251447678E0;8.735597610E0;1.463211060E0;9.824788017E0
8.029060400E-2;-4.256233215E0;8.730812073E0;1.458425403E0;9.821894180E0
8.246119800E-2;-4.241876125E0;8.730812073E0;1.439282775E0;9.812855212E0
8.463080400E-2;-4.232305050E0;8.731410027E0;1.424925923E0;9.807157640E0
8.680372700E-2;-4.227519512E0;8.721838951E0;1.434497118E0;9.797968049E0
8.897541900E-2;-4.227519512E0;8.721838951E0;1.425524116E0;9.796658355E0
9.114571700E-2;-4.203591347E0;8.721838951E0;1.430309772E0;9.787054764E0
9.331694100E-2;-4.203591347E0;8.717052460E0;1.444666624E0;9.784898847E0
9.548900900E-2;-4.213162422E0;8.707481384E0;1.420738459E0;9.776986623E0
9.765823000E-2;-4.208376884E0;8.717052460E0;1.430309772E0;9.784846735E0
