"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.782240800E-2;-1.490130305E0;5.634499073E0;8.035696983E0;9.926756476E0
1.994635900E-2;-1.480558991E0;5.653641701E0;8.045268059E0;9.943945773E0
2.215724400E-2;-1.475773335E0;5.658427238E0;8.064410210E0;9.961446571E0
2.433122800E-2;-1.470987678E0;5.657829285E0;8.083553314E0;9.975904528E0
2.650572800E-2;-1.456630826E0;5.634499073E0;8.097909927E0;9.972236377E0
2.867708300E-2;-1.408774376E0;5.610570908E0;8.132007599E0;9.979614158E0
3.085032100E-2;-1.408774376E0;5.586642742E0;8.155936241E0;9.985715715E0
3.302778100E-2;-1.413560033E0;5.600401402E0;8.265407562E0;1.008363079E1
3.518899500E-2;-1.480558991E0;5.672185898E0;8.365307808E0;1.021489709E1
3.736105400E-2;-1.557129383E0;5.738586903E0;8.465208054E0;1.034484311E1
3.953275600E-2;-1.662413478E0;5.766702652E0;8.551349640E0;1.044720339E1
4.170232200E-2;-1.719841242E0;5.737988472E0;8.642276764E0;1.051528950E1
4.387432900E-2;-1.795813441E0;5.690132141E0;8.781061172E0;1.061647705E1
4.604374300E-2;-1.872383714E0;5.708676815E0;8.900103569E0;1.073809365E1
4.821786500E-2;-1.944168448E0;5.775077343E0;9.019146919E0;1.088468284E1
5.039929200E-2;-2.001596212E0;5.866004944E0;9.128618240E0;1.103395090E1
5.256939700E-2;-2.015953064E0;5.927619934E0;9.252447128E0;1.117177348E1
5.474286000E-2;-1.963909149E0;6.099903107E0;9.136993408E0;1.116021530E1
5.691908900E-2;-1.782054663E0;6.172286034E0;9.236893654E0;1.125135717E1
5.907963200E-2;-1.652842283E0;6.090929985E0;9.481559753E0;1.138996449E1
6.125045800E-2;-1.724626899E0;6.104688644E0;9.753743172E0;1.163516511E1
6.341951500E-2;-1.786840320E0;6.209374905E0;9.881759644E0;1.180670609E1
6.559222500E-2;-1.719841242E0;6.252445698E0;9.805189133E0;1.175553763E1
6.776397800E-2;-1.810768485E0;6.285944939E0;9.814760208E0;1.179497792E1
6.993367600E-2;-1.872981906E0;6.233303070E0;9.853045464E0;1.180866772E1
7.210525600E-2;-1.868196249E0;6.161518097E0;9.834501266E0;1.175465345E1
7.427545300E-2;-1.767697692E0;6.095117569E0;9.662816048E0;1.156050290E1
7.644661600E-2;-1.614557028E0;6.023931026E0;9.428917885E0;1.130482339E1
7.861806400E-2;-1.504487276E0;5.967101574E0;9.257830620E0;1.111652873E1
8.079111800E-2;-1.371087432E0;5.905486107E0;9.157930374E0;1.098282002E1
8.295955500E-2;-1.251446247E0;5.857629776E0;9.157930374E0;1.094283478E1
8.513127800E-2;-1.122233868E0;6.010770321E0;9.090332985E0;1.095549736E1
8.730063000E-2;-1.055832982E0;6.221338749E0;9.203991890E0;1.115944917E1
8.947250400E-2;-1.027119160E0;6.130411625E0;9.132805824E0;1.104740072E1
9.164309800E-2;-1.003190875E0;6.068796635E0;8.946763992E0;1.085731415E1
9.381389500E-2;-1.079761267E0;6.035296917E0;8.898907661E0;1.080653741E1
9.598493600E-2;-1.108475089E0;6.011368752E0;8.789435387E0;1.070604716E1
9.815641500E-2;-1.132403374E0;5.973681927E0;8.679366112E0;1.059710381E1
1.003236200E-1;-1.174875975E0;5.930611134E0;8.603393555E0;1.051526807E1
1.024886890E-1;-1.198804140E0;5.825326920E0;8.469993591E0;1.034950997E1
1.046688450E-1;-1.170090318E0;5.682355404E0;8.303692818E0;1.012963912E1
1.068395400E-1;-1.103091240E0;5.548955917E0;8.103892326E0;9.883359393E0
1.090126980E-1;-1.098305583E0;5.414957523E0;7.989634991E0;9.714026324E0
1.111816420E-1;-1.073779106E0;5.281557560E0;7.890332699E0;9.555375551E0
1.133551960E-1;-1.021137118E0;5.176871777E0;7.780860901E0;9.401304099E0
1.155247820E-1;-9.589236975E-1;5.100301266E0;7.695317745E0;9.281730596E0
1.176938910E-1;-8.823533654E-1;5.038686275E0;7.657630444E0;9.209028768E0
1.198638220E-1;-8.201399446E-1;4.962115765E0;7.624131203E0;9.133597264E0
1.220381500E-1;-7.674978375E-1;4.924428940E0;7.586444378E0;9.077069550E0
1.242212850E-1;-6.574280262E-1;4.895715237E0;7.500900745E0;8.981300089E0
1.263922650E-1;-5.521438122E-1;4.843671322E0;7.443472862E0;8.897825741E0
1.285627160E-1;-4.378865361E-1;4.820341110E0;7.372286797E0;8.819186224E0
1.307320170E-1;-3.373879790E-1;4.753342152E0;7.296314240E0;8.714602328E0
1.328997620E-1;-2.751746178E-1;4.677370071E0;7.296912670E0;8.671703776E0
1.350606310E-1;-2.560320199E-1;4.619942188E0;7.316055298E0;8.656447501E0
1.372450180E-1;-2.075773627E-1;4.552943230E0;7.297510624E0;8.603838778E0
1.394142780E-1;-1.549352705E-1;4.514657974E0;7.297510624E0;8.582528932E0
1.415887470E-1;-1.501496136E-1;4.514657974E0;7.335795879E0;8.615020761E0
1.437565130E-1;-1.118644550E-1;4.500301361E0;7.417151928E0;8.676368406E0
1.459292530E-1;-8.315058798E-2;4.481158733E0;7.450651646E0;8.694820732E0
1.481002130E-1;-5.922235921E-2;4.447659016E0;7.460821152E0;8.686140125E0
1.502717920E-1;-7.836493850E-2;4.404588223E0;7.518248558E0;8.713816607E0
1.524402290E-1;-7.357929647E-2;4.347160339E0;7.590033531E0;8.747103860E0
1.546154100E-1;-4.486542568E-2;4.289732933E0;7.609774113E0;8.735701666E0
1.567887000E-1;2.991028363E-3;4.242474556E0;7.624131203E0;8.725020109E0
1.589399860E-1;3.649054468E-2;4.189832687E0;7.662416458E0;8.733192743E0
1.611228870E-1;3.170489892E-2;4.151547432E0;7.749155998E0;8.791232562E0
1.632907540E-1;2.691925503E-2;4.150949001E0;7.810771465E0;8.845295537E0
1.654669830E-1;1.794617064E-2;4.127020836E0;7.849654675E0;8.868466697E0
1.676378420E-1;-1.196411322E-3;4.117449760E0;7.906484127E0;8.914363982E0
1.698160640E-1;-1.196411322E-3;4.112663746E0;7.963912010E0;8.963141136E0
1.719807570E-1;3.589233849E-3;4.031308174E0;7.950153351E0;8.913831767E0
1.741494280E-1;1.794617064E-2;3.969094515E0;7.979465485E0;8.912121114E0
1.763181800E-1;5.623133108E-2;3.907479286E0;7.993822098E0;8.897906949E0
1.784880110E-1;1.040877849E-1;3.897907972E0;8.008178711E0;8.907044801E0
1.806524490E-1;1.328016520E-1;3.893122435E0;8.070392609E0;8.961321076E0
1.828342420E-1;1.232303679E-1;3.878765583E0;8.099106789E0;8.980842886E0
1.850048970E-1;1.328016520E-1;3.869194269E0;8.146963120E0;9.020050368E0
1.871776260E-1;1.136590764E-1;3.873381615E0;8.237890244E0;9.103781587E0
1.893425530E-1;1.040877849E-1;3.902095556E0;8.280961037E0;9.154862079E0
1.914974300E-1;7.537391037E-2;3.892524242E0;8.309675217E0;9.176498701E0
1.936886530E-1;8.973085135E-2;3.887738705E0;8.285746574E0;9.152931779E0
1.958577210E-1;1.519442350E-1;3.859622955E0;8.209176064E0;9.072505059E0
1.980340520E-1;1.710868180E-1;3.873381615E0;8.257032394E0;9.122003058E0
2.001981750E-1;1.854437590E-1;3.887738705E0;8.333602905E0;9.197708356E0
2.023636210E-1;2.428714931E-1;3.911666870E0;8.338388443E0;9.213514318E0
2.045428710E-1;3.146561682E-1;3.893122435E0;8.357531548E0;9.225169070E0
2.067079200E-1;3.290131092E-1;3.906881094E0;8.467600822E0;9.331250355E0
2.088618420E-1;2.620140910E-1;3.969094515E0;8.643473625E0;9.514830475E0
2.110602150E-1;2.428714931E-1;3.997210264E0;8.724829674E0;9.599965067E0
2.132483160E-1;2.524427772E-1;4.011567116E0;8.743971825E0;9.623587759E0
2.154033560E-1;2.715853751E-1;4.001996040E0;8.729615211E0;9.607076177E0
2.175689030E-1;2.763710022E-1;3.978067636E0;8.772686005E0;9.636463189E0
2.197388860E-1;2.428714931E-1;3.963710785E0;8.806185722E0;9.660170636E0
2.219088790E-1;2.141576260E-1;3.992424488E0;8.815756798E0;9.680025036E0
2.240739190E-1;1.615155339E-1;4.073182583E0;8.906085968E0;9.794655221E0
2.262679900E-1;7.058826834E-2;4.149752617E0;8.982057571E0;9.894583756E0
2.284198260E-1;2.273181453E-2;4.197010994E0;9.010173798E0;9.939750997E0
2.305963280E-1;1.316052489E-2;4.225724697E0;8.986245155E0;9.930232848E0
2.327521210E-1;1.794617064E-2;4.240081787E0;8.952746391E0;9.906073065E0
2.349079440E-1;4.666004330E-2;4.221537113E0;8.890532494E0;9.842007965E0
2.371072040E-1;9.930214286E-2;4.240679741E0;8.861818314E0;9.824716251E0
2.392771550E-1;1.375873089E-1;4.250251293E0;8.828319550E0;9.799122021E0
2.414552960E-1;1.280160099E-1;4.298107624E0;8.895318031E0;9.880121463E0
2.436191150E-1;1.040877849E-1;4.321437836E0;8.956933022E0;9.945466725E0
2.457967180E-1;8.015955985E-2;4.374079704E0;8.990432739E0;9.998343846E0
2.479708210E-1;5.084748194E-2;4.417150497E0;8.999405861E0;1.002512393E1
2.501313940E-1;3.589233849E-3;4.421936035E0;8.994620323E0;1.002281028E1
2.523013160E-1;-5.383851007E-2;4.445864677E0;8.994620323E0;1.003353408E1
2.544723160E-1;-1.016949639E-1;4.478765965E0;8.946763992E0;1.000571199E1
2.566407430E-1;-1.399801224E-1;4.526622295E0;8.936594009E0;1.001861349E1
2.588030450E-1;-1.884347796E-1;4.579264164E0;8.965308189E0;1.006885887E1
2.609867300E-1;-2.075773627E-1;4.598406792E0;8.931808472E0;1.004816580E1
2.631566830E-1;-2.219343036E-1;4.607978344E0;8.892925262E0;1.001832516E1
2.653304200E-1;-2.745763958E-1;4.636692047E0;8.888139725E0;1.002862568E1
2.675029970E-1;-2.979064286E-1;4.627120972E0;8.859425545E0;9.999420869E0
2.696901400E-1;-3.266202807E-1;4.646263599E0;8.849854469E0;1.000071849E1
2.718417310E-1;-3.792623878E-1;4.674378872E0;8.811569214E0;9.981854027E0
2.740124160E-1;-4.989035130E-1;4.660022259E0;8.907281876E0;1.006500783E1
2.761779230E-1;-5.754738450E-1;4.698307037E0;8.882756233E0;1.006521820E1
2.783495760E-1;-5.946164131E-1;4.736592293E0;8.748757362E0;9.966425167E0
2.805114810E-1;-6.233302951E-1;4.779663086E0;8.590831757E0;9.850690846E0
2.826948610E-1;-6.334998012E-1;4.803591251E0;8.466404915E0;9.754784626E0
2.848655560E-1;-6.334998012E-1;4.841876507E0;8.385048866E0;9.703305344E0
2.870402890E-1;-6.526423693E-1;4.856233597E0;8.380263329E0;9.707613521E0
2.892034470E-1;-6.287141442E-1;4.847260475E0;8.346763611E0;9.672625205E0
2.913523420E-1;-6.287141442E-1;4.856233597E0;8.356334686E0;9.685381542E0
2.935497800E-1;-6.430711150E-1;4.856233597E0;8.332406998E0;9.665689400E0
2.957173940E-1;-6.861419082E-1;4.837090969E0;8.327621460E0;9.654922006E0
